id,created,source,target,support,confidence,type
1,2023-06-06 07:13:47.804874+00,0803096,2869728,0.10000000,0.00110375,""
2,2023-06-06 07:13:47.804874+00,1211837,3385516,0.08333333,0.00110375,""
3,2023-06-06 07:13:47.804874+00,1211837,4425200,0.08333333,0.00110375,""
4,2023-06-06 07:13:47.804874+00,1219827,1386697,0.07142857,0.00110375,""
5,2023-06-06 07:13:47.804874+00,1289401,2005151,0.06250000,0.00110375,""
6,2023-06-06 07:13:47.804874+00,1289401,4425200,0.06250000,0.00110375,""
7,2023-06-06 07:13:47.804874+00,1292566,1473832,0.07692308,0.00110375,""
8,2023-06-06 07:13:47.804874+00,1292566,4172430,0.07692308,0.00110375,""
9,2023-06-06 07:13:47.804874+00,1386697,1219827,0.09090909,0.00110375,""
10,2023-06-06 07:13:47.804874+00,1473832,1292566,0.08333333,0.00110375,""
11,2023-06-06 07:13:47.804874+00,1473832,4034354,0.08333333,0.00110375,""
12,2023-06-06 07:13:47.804874+00,1619029,4975722,0.08333333,0.00110375,""
13,2023-06-06 07:13:47.804874+00,1860213,3110958,0.10000000,0.00110375,""
14,2023-06-06 07:13:47.804874+00,1878870,3470600,0.05882353,0.00110375,""
15,2023-06-06 07:13:47.804874+00,1878870,4513674,0.05882353,0.00110375,""
16,2023-06-06 07:13:47.804874+00,1878870,5512872,0.05882353,0.00110375,""
17,2023-06-06 07:13:47.804874+00,2005151,1289401,0.06250000,0.00110375,""
18,2023-06-06 07:13:47.804874+00,2025690,2869728,0.05882353,0.00110375,""
19,2023-06-06 07:13:47.804874+00,2025690,3315342,0.05882353,0.00110375,""
20,2023-06-06 07:13:47.804874+00,2267968,2709768,0.10000000,0.00110375,""
21,2023-06-06 07:13:47.804874+00,2267968,3315342,0.10000000,0.00110375,""
22,2023-06-06 07:13:47.804874+00,2387499,2869728,0.08333333,0.00110375,""
23,2023-06-06 07:13:47.804874+00,2709768,2267968,0.10000000,0.00110375,""
24,2023-06-06 07:13:47.804874+00,2709768,3110958,0.10000000,0.00110375,""
25,2023-06-06 07:13:47.804874+00,2869728,0803096,0.04347826,0.00110375,""
26,2023-06-06 07:13:47.804874+00,2869728,2025690,0.04347826,0.00110375,""
27,2023-06-06 07:13:47.804874+00,2869728,2387499,0.04347826,0.00110375,""
28,2023-06-06 07:13:47.804874+00,2869728,5512872,0.04347826,0.00110375,""
29,2023-06-06 07:13:47.804874+00,3110958,1860213,0.05882353,0.00110375,""
30,2023-06-06 07:13:47.804874+00,3110958,2709768,0.05882353,0.00110375,""
31,2023-06-06 07:13:47.804874+00,3315342,2025690,0.03703704,0.00110375,""
32,2023-06-06 07:13:47.804874+00,3315342,2267968,0.03703704,0.00110375,""
33,2023-06-06 07:13:47.804874+00,3315342,5512872,0.03703704,0.00110375,""
34,2023-06-06 07:13:47.804874+00,3385516,1211837,0.08333333,0.00110375,""
35,2023-06-06 07:13:47.804874+00,3470600,1878870,0.08333333,0.00110375,""
36,2023-06-06 07:13:47.804874+00,3640424,4975722,0.09090909,0.00110375,""
37,2023-06-06 07:13:47.804874+00,3783958,4572514,0.05263158,0.00110375,""
38,2023-06-06 07:13:47.804874+00,3783958,5512872,0.05263158,0.00110375,""
39,2023-06-06 07:13:47.804874+00,3874544,5512872,0.07692308,0.00110375,""
40,2023-06-06 07:13:47.804874+00,4034354,1473832,0.10000000,0.00110375,""
41,2023-06-06 07:13:47.804874+00,4034354,4698684,0.10000000,0.00110375,""
42,2023-06-06 07:13:47.804874+00,4136084,4513674,0.08333333,0.00110375,""
43,2023-06-06 07:13:47.804874+00,4172430,1292566,0.07692308,0.00110375,""
44,2023-06-06 07:13:47.804874+00,4172430,5247022,0.07692308,0.00110375,""
45,2023-06-06 07:13:47.804874+00,4425200,1211837,0.08333333,0.00110375,""
46,2023-06-06 07:13:47.804874+00,4425200,1289401,0.08333333,0.00110375,""
47,2023-06-06 07:13:47.804874+00,4513674,1878870,0.07142857,0.00110375,""
48,2023-06-06 07:13:47.804874+00,4513674,4136084,0.07142857,0.00110375,""
49,2023-06-06 07:13:47.804874+00,4513674,5512872,0.07142857,0.00110375,""
50,2023-06-06 07:13:47.804874+00,4572514,3783958,0.10000000,0.00110375,""
51,2023-06-06 07:13:47.804874+00,4698684,4034354,0.10000000,0.00110375,""
52,2023-06-06 07:13:47.804874+00,4975722,1619029,0.08333333,0.00110375,""
53,2023-06-06 07:13:47.804874+00,4975722,3640424,0.08333333,0.00110375,""
54,2023-06-06 07:13:47.804874+00,5247022,4172430,0.09090909,0.00110375,""
55,2023-06-06 07:13:47.804874+00,5512872,1878870,0.03333333,0.00110375,""
56,2023-06-06 07:13:47.804874+00,5512872,2869728,0.03333333,0.00110375,""
57,2023-06-06 07:13:47.804874+00,5512872,3315342,0.03333333,0.00110375,""
58,2023-06-06 07:13:47.804874+00,5512872,3783958,0.03333333,0.00110375,""
59,2023-06-06 07:13:47.804874+00,5512872,3874544,0.03333333,0.00110375,""
60,2023-06-06 07:13:47.804874+00,5512872,4513674,0.03333333,0.00110375,""
